Date,Open,High,Low,Close,Adj Close,Volume
2013-12-01,55.600281,58.851223,53.804142,58.700565,44.127583,66230886
2014-01-01,59.340866,59.745762,54.124294,55.037666,41.561337,49666977
2014-02-01,55.028248,57.269302,51.920902,55.169491,41.660889,62883144
2014-03-01,54.519775,59.519775,54.500942,58.267422,44.000259,47273444
2014-04-01,58.446327,59.293785,54.209042,57.523540,43.630219,47598310
2014-05-01,57.532955,60.254238,56.666668,59.340866,45.008629,29854410
2014-06-01,59.416195,60.338982,57.702450,59.322033,44.994331,29810553
2014-07-01,59.350281,59.924671,56.610168,57.693031,43.939396,39647541
2014-08-01,57.222221,60.960453,56.327682,60.376648,45.983253,27378255
2014-09-01,60.395481,63.860641,60.225990,62.175140,47.352989,32840970
2014-10-01,62.222221,64.303200,58.145008,63.728813,48.732384,46320721
2014-11-01,63.917137,71.026367,63.295670,70.781548,54.125488,30602486
2014-12-01,69.981171,71.553673,67.109230,70.527306,53.931068,30933192
2015-01-01,70.800377,72.401131,65.244820,65.320152,50.165565,54553559
2015-02-01,64.331451,73.286255,63.888889,72.184555,55.437401,68463315
2015-03-01,72.062149,72.909607,68.022598,70.913368,54.461117,41633267
2015-04-01,70.979286,71.732582,67.984932,68.201508,52.599686,29037523
2015-05-01,68.465157,68.719398,64.444443,66.318268,51.147263,45064589
2015-06-01,66.525421,67.542374,64.143127,65.668549,50.646179,42621566
2015-07-01,65.988701,72.881355,65.781548,72.589455,56.239006,44115163
2015-08-01,71.977402,72.843689,63.258003,68.201508,52.839424,39059935
2015-09-01,66.676086,68.785309,62.994350,64.227875,49.760841,33008871
2015-10-01,64.387947,69.500938,57.966103,63.578156,49.478687,67110540
2015-11-01,63.700565,66.242935,57.598869,60.922787,47.412189,48329814
2015-12-01,60.998116,62.429379,57.806026,58.615818,45.616833,58739326
2016-01-01,57.146893,59.086628,49.161961,58.945385,46.140816,72528548
2016-02-01,58.220341,61.996235,51.883240,61.308849,47.990875,75456478
2016-03-01,61.657249,63.182674,60.018833,60.979282,47.732899,53394067
