Date,Open,High,Low,Close,Adj Close,Volume
2013-12-01,140.339996,149.009995,134.039993,148.899994,148.899994,22847200
2014-01-01,148.720001,155.479996,138.410004,142.179993,142.179993,18476100
2014-02-01,142.070007,148.429993,137.220001,141.529999,141.529999,22055300
2014-03-01,140.029999,145.509995,132.869995,135.979996,135.979996,20615300
2014-04-01,136.800003,139.899994,128.539993,132.410004,132.410004,18507200
2014-05-01,132.309998,143.500000,131.190002,135.660004,135.660004,17534100
2014-06-01,135.929993,138.770004,129.789993,138.339996,138.339996,15264200
2014-07-01,138.399994,141.000000,123.809998,124.769997,124.769997,22270000
2014-08-01,130.300003,147.649994,126.279999,146.020004,146.020004,19257400
2014-09-01,146.059998,149.839996,134.589996,134.820007,134.820007,14430200
2014-10-01,134.669998,147.029999,120.370003,142.039993,142.039993,19646000
2014-11-01,142.440002,155.070007,138.220001,153.589996,153.589996,12014200
2014-12-01,152.389999,158.580002,143.220001,155.360001,155.360001,15273400
2015-01-01,156.660004,170.059998,151.149994,165.039993,165.039993,18890300
2015-02-01,166.960007,187.449997,162.410004,184.350006,184.350006,15313400
2015-03-01,184.350006,188.289993,175.679993,185.750000,185.750000,14184800
2015-04-01,185.949997,187.289993,172.970001,173.500000,173.500000,11682000
2015-05-01,174.580002,190.160004,174.169998,186.639999,186.639999,11429300
2015-06-01,186.889999,195.300003,186.100006,190.899994,190.899994,9685300
2015-07-01,192.800003,202.369995,189.000000,201.589996,201.589996,10586500
2015-08-01,204.000000,212.160004,183.520004,196.970001,196.970001,17926400
2015-09-01,193.500000,209.979996,174.490005,181.789993,181.789993,16572800
2015-10-01,182.960007,199.729996,180.880005,195.500000,195.500000,18034600
2015-11-01,196.220001,201.880005,180.000000,190.720001,190.720001,15762600
2015-12-01,192.020004,200.419998,183.139999,189.389999,189.389999,12560000
2016-01-01,189.000000,189.000000,153.149994,166.410004,166.410004,14220400
2016-02-01,166.009995,182.960007,148.559998,179.729996,179.729996,17321800
2016-03-01,182.059998,193.589996,176.589996,190.899994,190.899994,13710300
2016-04-01,190.199997,200.770004,186.160004,192.630005,192.630005,9420600
2016-05-01,194.110001,200.630005,189.550003,196.690002,196.690002,11594400
2016-06-01,195.369995,201.779999,177.339996,189.759995,189.759995,9858200
2016-07-01,189.789993,209.419998,183.899994,208.940002,208.940002,9003100
2016-08-01,209.110001,214.929993,206.160004,212.779999,212.779999,10762300
2016-09-01,212.860001,216.580002,197.699997,200.339996,200.339996,11451700
2016-10-01,199.470001,201.750000,182.679993,184.300003,184.300003,10837300
2016-11-01,183.429993,205.259995,175.520004,197.440002,197.440002,19136900
2016-12-01,197.509995,205.910004,189.440002,199.679993,199.679993,10594000
2017-01-01,201.679993,217.960007,199.899994,215.839996,215.839996,11871000
2017-02-01,215.850006,228.520004,209.899994,226.360001,226.360001,11708900
2017-03-01,229.309998,233.699997,223.839996,229.490005,229.490005,10395300
2017-04-01,229.919998,241.020004,226.570007,234.789993,234.789993,9824200
2017-05-01,235.949997,239.429993,226.649994,239.300003,239.300003,9273900
2017-06-01,239.080002,248.240005,237.470001,241.690002,241.690002,8403000
2017-07-01,242.369995,251.690002,236.479996,248.990005,248.990005,9888300
2017-08-01,249.899994,254.750000,244.770004,253.119995,253.119995,8910100
2017-09-01,253.199997,259.910004,242.490005,247.509995,247.509995,10426200
2017-10-01,248.160004,268.459991,247.509995,261.760010,261.760010,12640600
2017-11-01,261.390015,283.220001,256.320007,282.609985,282.609985,8377800
2017-12-01,283.100006,286.850006,271.540009,275.899994,275.899994,9892800
2018-01-01,277.040009,282.209991,269.250000,281.059998,281.059998,11837400
2018-02-01,280.269989,280.799988,238.630005,239.880005,239.880005,18138700
2018-03-01,239.869995,253.550003,226.619995,232.220001,232.220001,15130200
2018-04-01,232.220001,247.130005,209.470001,209.880005,209.880005,19001100
2018-05-01,209.750000,219.389999,203.869995,204.039993,204.039993,20086600
2018-06-01,204.529999,215.809998,202.750000,214.270004,214.270004,16649700
2018-07-01,212.380005,228.490005,177.000000,188.360001,188.360001,30186200
2018-08-01,189.000000,196.300003,180.449997,191.589996,191.589996,20256300
2018-09-01,191.199997,192.449997,173.820007,175.350006,175.350006,17425500
2018-10-01,175.910004,176.740005,113.449997,124.730003,124.730003,43168600
2018-11-01,125.430000,133.289993,119.089996,128.059998,128.059998,22075100
2018-12-01,130.229996,130.690002,109.349998,116.959999,116.959999,20588500
2019-01-01,114.940002,129.169998,114.360001,128.789993,128.789993,20694100
2019-02-01,127.790001,143.970001,125.540001,136.119995,136.119995,22938900
2019-03-01,137.710007,139.270004,123.300003,126.150002,126.150002,16085300
2019-04-01,127.040001,137.039993,118.250000,136.250000,136.250000,15691800
2019-05-01,136.789993,146.470001,130.050003,135.550003,135.550003,15795600
2019-06-01,135.440002,153.539993,134.690002,147.470001,147.470001,14130500
2019-07-01,149.000000,156.600006,122.269997,124.690002,124.690002,18620700
2019-08-01,124.389999,125.320000,108.930000,118.889999,118.889999,16200800
2019-09-01,116.820000,129.850006,113.040001,124.070000,124.070000,12689900
2019-10-01,125.029999,146.839996,117.519997,143.380005,143.380005,21245100
2019-11-01,143.610001,153.050003,137.449997,139.369995,139.369995,14225900
2019-12-01,139.869995,141.399994,133.070007,136.380005,136.380005,10097900
2020-01-01,136.550003,144.369995,125.940002,131.679993,131.679993,14608100
2020-02-01,132.220001,142.610001,118.550003,121.150002,121.150002,16938300
2020-03-01,121.589996,123.209999,56.619999,76.239998,76.239998,26808700
2020-04-01,72.669998,94.629997,60.049999,87.720001,87.720001,19922700
2020-05-01,85.419998,99.989998,69.870003,93.199997,93.199997,15447200
2020-06-01,93.139999,116.959999,89.889999,101.760002,101.760002,20235400
2020-07-01,101.480003,103.650002,67.790001,79.849998,79.849998,46237500
2020-08-01,80.010002,97.910004,78.930000,92.330002,92.330002,16322900
2020-09-01,92.629997,103.820000,90.209999,97.589996,97.589996,11700500
2020-10-01,99.239998,110.000000,90.980003,103.190002,103.190002,12480500
2020-11-01,106.459999,135.029999,105.660004,125.830002,125.830002,14701600
2020-12-01,127.790001,142.839996,124.160004,140.949997,140.949997,13911700
2021-01-01,140.770004,153.350006,134.089996,143.600006,143.600006,8430100
2021-02-01,145.889999,183.490005,142.639999,174.990005,174.990005,11581300
2021-03-01,177.190002,197.360001,168.809998,192.309998,192.309998,13232500
2021-04-01,194.570007,214.490005,192.570007,205.500000,205.500000,9833400
2021-05-01,212.210007,231.800003,204.580002,210.679993,210.679993,11047400
2021-06-01,206.380005,206.380005,178.289993,192.190002,192.190002,13025200
2021-07-01,193.830002,202.490005,176.500000,194.899994,194.899994,9906600
2021-08-01,196.580002,211.750000,191.369995,197.759995,197.759995,8814200
2021-09-01,197.970001,198.759995,175.949997,177.399994,177.399994,9700300
2021-10-01,177.929993,199.369995,174.169998,177.210007,177.210007,10775000
2021-11-01,176.759995,184.979996,166.360001,167.869995,167.869995,12579100
2021-12-01,172.600006,183.880005,162.630005,182.179993,182.179993,12785700
2022-01-01,183.350006,192.000000,146.860001,157.869995,157.869995,10430000
2022-02-01,158.419998,159.750000,132.020004,140.779999,140.779999,14611900
2022-03-01,138.399994,148.570007,121.040001,124.199997,124.199997,21303100
2022-04-01,126.410004,159.000000,117.559998,141.059998,141.059998,13621300
2022-05-01,143.479996,158.059998,129.279999,141.460007,141.460007,14068900
2022-06-01,141.589996,142.539993,114.959999,124.089996,124.089996,11556500
2022-07-01,124.419998,137.410004,119.820000,128.479996,128.479996,11907500
2022-08-01,125.389999,128.139999,107.809998,110.360001,110.360001,11985000
2022-09-01,109.529999,117.650002,88.849998,91.190002,91.190002,15560900
2022-10-01,91.849998,101.480003,91.199997,94.750000,94.750000,13849400
2022-11-01,96.800003,110.389999,87.019997,101.330002,101.330002,10675100
2022-12-01,102.199997,110.209999,93.440002,102.220001,102.220001,12409000
2023-01-01,103.750000,120.800003,103.449997,120.059998,120.059998,12679500
2023-02-01,119.449997,130.630005,102.279999,102.849998,102.849998,11658800
2023-03-01,102.419998,107.019997,92.680000,100.220001,100.220001,11919300
2023-04-01,99.910004,107.120003,92.000000,105.900002,105.900002,11735800
2023-05-01,105.949997,106.699997,91.500000,92.040001,92.040001,12125300
2023-06-01,92.120003,104.320000,90.989998,103.160004,103.160004,13460700
2023-07-01,102.980003,118.320000,97.260002,106.339996,106.339996,18738000
2023-08-01,105.570000,108.139999,94.830002,101.389999,101.389999,11495300
2023-09-01,102.180000,103.120003,83.120003,85.809998,85.809998,15145700
2023-10-01,85.300003,86.059998,76.019997,80.379997,80.379997,17869700
2023-11-01,80.400002,88.440002,78.300003,83.620003,83.620003,13246900
2023-11-22,85.000000,85.000000,83.165001,83.620003,83.620003,539939
