Date,Open,High,Low,Close,Adj Close,Volume
2013-12-01,53.980000,55.160000,50.220001,55.009998,40.548660,28312900
2014-01-01,54.889999,55.180000,47.720001,49.119999,36.207054,29438300
2014-02-01,47.480000,55.580002,47.480000,55.160000,40.979122,35846400
2014-03-01,54.840000,55.750000,53.840000,55.619999,41.320869,22788700
2014-04-01,55.880001,56.910000,52.910000,55.259998,41.053421,25102400
2014-05-01,55.139999,56.110001,53.020000,53.700001,40.204910,17629300
2014-06-01,53.560001,53.930000,50.820000,53.049999,39.718258,23154800
2014-07-01,53.110001,54.990002,49.869999,49.950001,37.397308,29051300
2014-08-01,49.900002,52.990002,48.009998,52.660000,39.763588,17218900
2014-09-01,52.730000,55.779999,52.480000,55.000000,41.530518,19613300
2014-10-01,55.040001,58.060001,52.740002,57.529999,43.440933,30396700
2014-11-01,57.689999,59.419998,53.740002,59.200001,45.038036,25161700
2014-12-01,58.619999,59.000000,54.000000,54.990002,41.835163,29697800
2015-01-01,55.450001,55.900002,51.419998,54.919998,41.781918,29249100
2015-02-01,54.680000,63.090000,53.900002,62.320000,47.780067,28265000
2015-03-01,62.450001,63.590000,59.740002,63.240002,48.485405,22251300
2015-04-01,63.139999,74.750000,62.560001,70.790001,54.273922,37502900
2015-05-01,71.150002,73.160004,69.900002,72.129997,55.661339,15580100
2015-06-01,71.949997,78.910004,71.529999,74.790001,57.714027,20303400
2015-07-01,74.029999,84.419998,74.019997,78.739998,60.762157,36595600
2015-08-01,78.739998,81.000000,60.380001,74.589996,57.889412,24718000
2015-09-01,73.959999,80.379997,70.500000,72.139999,55.987953,25840700
2015-10-01,72.489998,79.430000,70.110001,76.830002,59.627892,34444500
2015-11-01,77.279999,79.930000,72.870003,73.089996,57.060993,22162600
2015-12-01,73.739998,73.930000,64.910004,67.360001,52.587624,34067000
2016-01-01,66.339996,74.320000,65.519997,74.279999,57.990025,27972400
2016-02-01,73.980003,78.449997,68.599998,75.870003,59.610336,38124300
2016-03-01,76.070000,80.330002,75.510002,80.099998,62.933773,22856800
2016-04-01,79.570000,88.529999,77.500000,84.639999,66.500847,26216400
2016-05-01,85.430000,87.639999,83.349998,87.290001,68.986588,15551400
2016-06-01,86.580002,87.379997,80.339996,83.989998,66.378548,21274400
2016-07-01,84.050003,87.000000,78.529999,81.230003,64.197281,36773600
2016-08-01,81.029999,82.919998,80.139999,81.739998,65.009850,16251400
2016-09-01,81.430000,83.250000,76.800003,79.330002,63.093128,18361300
2016-10-01,78.989998,84.400002,76.139999,83.410004,66.338066,38032200
2016-11-01,83.889999,87.959999,80.360001,85.389999,68.333633,22026300
2016-12-01,85.250000,87.570000,77.199997,77.790001,62.251717,30409000
2017-01-01,78.110001,87.110001,78.110001,82.510002,66.028900,33239500
2017-02-01,82.480003,99.330002,81.540001,96.870003,78.002235,42978700
2017-03-01,97.129997,101.080002,96.790001,99.820000,80.377625,23654900
2017-04-01,99.900002,104.139999,94.760002,99.110001,79.805923,26996000
2017-05-01,99.480003,105.389999,98.010002,105.260002,85.238945,16678100
2017-06-01,105.320000,113.489998,104.910004,111.510002,90.300148,18823800
2017-07-01,112.089996,116.199997,103.680000,105.879997,85.740974,21853000
2017-08-01,106.080002,106.800003,93.730003,98.250000,79.989822,29495800
2017-09-01,98.449997,99.089996,91.570000,97.669998,79.517632,28113900
2017-10-01,97.349998,98.930000,88.660004,92.589996,75.381752,39225400
2017-11-01,92.900002,99.169998,87.919998,93.019997,76.186699,28472500
2017-12-01,92.639999,97.169998,90.029999,90.889999,74.442162,24062900
2018-01-01,91.559998,97.459999,88.300003,94.570000,77.456215,33893000
2018-02-01,94.339996,103.389999,89.889999,95.570000,78.751411,39670900
